,year,country,sentence
1035,1940,Italy,"1940 Italy 1,200 tank , twoman light tankettes "
1036,1940,Italy,"September 27 , 1940 , Japan allied Germany Italy Tripartite Pact "
1037,1940,Italy,"Japan form al alignment Germany Italy Axis Tripartite Alliance Septem ber 1940 brought increase aid United States , include airplane "
1038,1940,Italy,"Following Italy entry war June 1940 , Legentilhomme lead force Ethiopi along DjiboutiAddis Ababa Railroad "
1039,1940,Italy,"immediate impetus LendLease fall France June 1940 , left Great Britain fight Germany Italy alone "
1040,1940,Italy,"Italy declare war Allies June 1940 , immediately begin air attack Malta , initially British handful Sea Gladiator biplane meet attack "
1041,1940,Italy,"time foreignminister , Japan join Italy Germany Tripartite Pact September 1940 "
1042,1940,Italy,"Upon Italy declaration war June 1940 , follow force Mediterranean Italy 2 battleship , 7 heavy 14 light cruiser , 52 destroyer , 69 torpedo boat , 105 submarine France 5 battleship , 7 heavy 7 light cruiser , 38 destroyer , 6 torpedo boat , 40 submarine Great Britain 4 battleship , 1 battle cruise r , 2 aircraft carrier , 13 light cruiser , 36 destroyer , 12 submarine Spain 6 cruiser , 20 destroyer , 6 torpe do boat , 5 submarine Greece 2cruisers , 10 destroyer , 13 small torpedo boat , 6 submarine Turkey 1 old battle cruiser , 2 cruiser , 4 destroyer , 4 small torpedo boat , 8 submarine Yugoslavia 1 old cruiser , 4 destroyer , 6 small torpedo boat , 4 submarine "
1043,1940,Italy,"August 1940 , Italy commission two modern battleship , Littorio Vittorio V eneto , give battle line superiority Great Britain "
1044,1940,Italy,"result , Regia Marina temporarily pull back Taranto Ionian Sea , Taranto attack not eliminate Italy ability dispute passage Mediterranean , indicate Battle Cape Spartivento November 27 , 1940 , indecisive battleship action fought two week later "
1045,1940,Italy,do accor dance plan developed early July 1940 advance Reich war aim rather prop Italy 
1046,1940,Italy,"December 21 , 1940 , follow Italy invasion Greece , Messe assign command Special Army Corps "
1047,1940,Italy,"France near defeat , Italy enter war June 1940 "
1048,1940,Italy,"Italy , neutral 1940 , impressive navy September 1939 consist 4 reconstruct World War Iera battleship , 7 heavy cruiser , 12 light cruiser , 90 destroyer , 97 submarine "
1049,1940,Italy,"Italy , neutral 1940 , impressive mediumsized navy , operation , apart submarine , largely confine Mediterranean "
1050,1940,Italy,"swift French collapse follow German invasion May 10 , 1940 , Italy entry war June 10 trans form situation "
1051,1940,Italy,"naval minister , Oikawa involve make two fateful decision conclusion Tripartite Pact Germany Italy September 27 , 1940 declaration war United States United Kingdom "
1052,1940,Italy,"Bulgaria Bulgaria receive southern Dobruja , Germany Italy insist give Romania 1940 "
1053,1940,Italy,"November 1940 , Italy invade Greece , Number 80 Squadron , Pattles command , move support Greek Army "
1054,1940,Italy,"Germany Italy pressure Romania accede Soviet demand June 28 , 1940 , cede Soviet Union Bessarabia also northern Bukovina , not Soviet territory "
1055,1940,Italy,"term Second Vienna Award August 30 , 1940 , dictate Germany Italy stabilize political situation Romania Hungary , Romania cede Hungary northcentral Transylvania Romanian territory north Oradea "
1056,1940,Italy,"Romanian marshal dictator Ion Antonescu Romania meet German chancellor Adolf Hitler November 1940 sign ripartite Pact , allied Romania Germany , Japan , Italy "
1057,1940,Italy,"Despite misgiving regardin g Italy June 1940 entry war , Duke Aostas numerically superior force overran British holding Sudan British Somaliland first several month conflict "
1058,1940,Italy,"Italy enter war June 10 , 1940 , Allies could read many Italian code cipher "
1059,1940,Italy,"1940 , Italians decide new tank , Fiat M1340 , become principal medium tank mainstay Italy armor force North Africa "
1060,1940,Italy,"Tripartite Pact September 27 , 1940 Diplomatic agreement among Germany , Italy , Japan "
1061,1940,Italy,thewar Italy issue War Commem orative Medal service Kingdom Italy 1940 1943 Liberation Campaign Medal service Republic Italy 19431945 period 
1063,1940,Italy,"Tripartite Pact Germany , Italy , Japan , Signed Berlin , September 27 , 1940 75 "
1064,1940,Italy,"Tripartite Pact Germany , Italy , Japan , Signed Berlin , September 27 , 1940I n r c n Septe mber 1940 government Germany , Italy , Japan formally allied establish new order Europe Asia "
1066,1940,Italy,"Sour ce ThreePower Pact Germany , Italy , Japan , Signed Berlin , September 27 , 1940 , valon Project , httpavalon.law .yale.eduwwiitriparti.asp "
1067,1940,Italy,"Chinese Government Declaration W ar Germany Italy Since conclusion Tripartite Pact September 1940 , Germany , Italy , Japan unmistakably band block aggressor state work closely together carry common program world conquest domination "
1069,1940,Italy,"Beginning spring 1940 , British gradually broke Germany Enigma Italy Fish , Americans receive stead stream intelligence Japanese Magic intercept "
1070,1940,Italy,", 184 Columbo , 184 conscription , 183declaration war Germany , 183 defense Port Moresby , 185 division , 183 El Alamein , 184 growth , 183 Java , 184 MacArthur , Douglas , 184185 Middle East , 183184 Milne Bay , 185 North Africa , 184 number casualty suf fered war , 185 number men woman serve war , 185 number prisoner war recover war , 185 Papua New Guinea , 185 Second Australian Imperial Force , 184 Singapore , 184 Southwest Pacific Command , 184 Australia , Navy , 185186 buildup , 185 combat action , 185186 duty Pacific , 186 formal name , 185 Italy , 185 Japanese air raid Darwin , 186 Mediterranean , 185 number men woman serve war , 186 prewar strength , 185 requisition , 185 ship conversion , 185 sinking Perth , 186 sinking Sydney , 186 Austria , 186188 W orld W ar , 186 air attack , 188 Allied military occupation , 188 annexation , 186 Anschluss union Germany , 186 , 187 , 188 antiSemitism , 188 Austrian Army , 187 , 188 Christian Socialists , 186 division , 188 Dollfuss , Engelbert , 186 , 187 geographic location , 186 Hitler , Adolf , , 186 , 187 Mussolini , Benito , 187 Nazi banner swastika hung plaza front Schloss Esterhazy , 187 image Nazi propaganda , 186 new constitution , 186new constitution , 186 nullification Anschluss union , 188 Ostmark , 188 plebiscite issue Anschluss union Germany , 187 plot government , 187 Red Army , 188 Renner , Karl , 188 resistance group , 188 Schusschnigg , Kurt , 187 SeyssInquart , Arthur , 187 Social Democrats , 186 Treaty SaintGermain , 186 Automedon , sinking November 1 1 , 1940 , 188189 attack German commerce raider Atlantis , 188 British W ar Cabinet minute , 188189 Ole Jacob ship , 189 Rogge , Bernhard , 189 surrender Automedon , 188 auxiliary vessel , 189191 aviation ship , 189190 catapultassisted merchant ship , 190 coastal patrol craft , auxiliary minesweeper , submarine chaser , 189 conversion fishing vessel , 189 fleet train , 190191 German Navy submarine tender , 190 image merchant aircraft carrier MACs , 190 mine destruction vessel Sperrbr echer , 189 overview , 189 requisition , 189 AVALANCHE , Operation , 877 See also Salerno Invasion September 9 , 1943 Avon , First Earl "
1071,1940,Italy,"Tripartite Pact Germany , Italy , Japan , Signed Berlin , September 27 , 1940 , 20492050 75 "
1072,1940,Albania,"British government , still hop prevent alliance Mussolini Adolf Hitler , accede annexation , Greeks prepared resist anItalian invasion country Albania , occur October 28 , 1940 "
1073,1940,Albania,"October 28 , 1940 , sent army Greece Albania , withou inform Hitler advance "
1074,1940,Albania,"Greece drawn World War II Italy invasion Albania October 28 , 1940 "
1075,1940,Albania,"October 1940 , without inform ally Adolf Hitler , Italian dictator Benito Mussolini launch invasion Albania "
1076,1940,Albania,"October 1940 , Italian Army invade Albania , Greek Army four firstlin e division Albanian frontier "
1077,1940,Albania,"Greece Campaign , Italian October 28 , 1940 March 1941 April 1939 , Italian dictator Benito Mussolini order Italian Army invade Albania secure control Adriatic Sea "
1078,1940,Albania,"October 28 , 1940 , short notice , Mussolini sent Italian troop Greece Albania "
1079,1940,Albania,"rule , Greeks successfully repel Italian invasion begin October 1940 indeed go offensive next month , occu pying much Albania "
1080,1940,Albania,"October 1940 , without consult Hitler , order Italian force invade Greece Albania "
1081,1940,Japan,"Lacking land border Axis territory 1940 , Western Allies could never contribute Germany defeat beaten Japan not master amphibious operation , complex military activity "
1082,1940,Japan,"Viewed term , four main center armament production World War II Western democracy 1940 , United States British Commonwealth , European Axis Germany Italy , Soviet Union , Japan "
1083,1940,Japan,"warni ng gesture Japan 1940 , however , President Franklin D"
1084,1940,Japan,"autumn 1940 , Japan formally join Germany Italy Tripartite Alliance Axis power "
1085,1940,Japan,"Vichy France left control colony , althoug h Japan sent troop establish de facto authority French Indochina 1940 1941 "
1086,1940,Japan,"Thai Air Force also several dozen obsolete landbased aircraft , December 1940 Japan deliver 93 modern aircraft "
1087,1940,Japan,"Following defeat France Europe June 1940 , French Indochina come pressure Japan Thailand "
1088,1940,Japan,"September 24 , 1940 , Decoux force grant Japan three air base Tonkin right station 6,000 troop "
1089,1940,Japan,"Genda return Japan 1940 , join staff 1st Carrier Division "
1090,1940,Japan,"September 27 , 1940 , Japan allied Germany Italy Tripartite Pact "
1091,1940,Japan,"Germany defeat France June 1940 , Japan demand obtain military base Indochina "
1092,1940,Japan,"Jiang repeatedly sought assistance Western power especially United States Britain , 1940 receive modest American financial military aid imposition limited economic sanction Japan "
1093,1940,Japan,"Japan form al alignment Germany Italy Axis Tripartite Alliance Septem ber 1940 brought increase aid United States , include airplane "
1094,1940,Japan,"response Japanese demand Vichy government air base Indochina concession , American policy toward Japan harden , sanction tighten begin summer 1940 "
1095,1940,Japan,"United States embar goed scrap metal oil follow Japan move French Indochina 1940 1941 , Japan found awkward situatio n back withdraw occupy territory go war solidify hold need resource "
